,id,displayName,shortName,precision,verified
0,,Waves,WAVES,8,true
1,13QuhSAkAueic5ncc8YRwyNxGQ6tRwVSS44a7uFgWsnk,Graph,GRPH,8,true
2,2CX6EFHYmXYyop4hD7dUywST5K51Hvi2m5brFo35C6EZ,MyBitX,MBX,2,true
3,2EAUTcAsFMsndSgiGacKRvygFR1e6gdSd8bEpiemsTPE,NEWSTOKEN,NEWS,8,true
4,2L9piWsMG4dZ84WgybXa9SPYFhyBEiP5fcv1BmJ9Gy7X,anyco,ANY,8,true
5,2LU8GwJFvVebrCvgDhMTLDzm3dHxuN1x7ks8dQRiSj9N,2B4T,2B4T,2,true
6,2XQGE8LY9hUruumZ9ewK82akHMnS8a2nSXKdKXfBnuLH,ThankYou,THNX,4,true
7,2Y8eFFXDTkxgCvXbMT5K4J38cpDYYbQdciJEZb48vTDj,MobileGoToken,MGO,8,true
8,2sikuhpBdZV2x5gHoA7adCStxuTSJ8m6r4hSRDLKz2zN,WCASH,WCASH,8,true
9,39wcSXj4MdRNRJXA88rVxF7EXWjYixaA3J3EteoN6DMM,privateBANKX,PBKX,0,true
10,3EAHaZPwV5gCoWkoLhjj7rSz9ix7Q4SE6mFczoxA3f9D,BrWaves,BRW,3,true
11,3MyMJ9pXLTDnMQhNgoDUBtcfmaGVgnaZNARZwcZzMFk7,CORE,CORE,8,true
12,3SdrmU1GGZRiZz12MrMcfUz4JksTzvcU25cLFXpZy1qz,Starta,STA,2,true
13,3e7aYkysNohFDonLVaUFGgZ46mV3Y3r7Rqzi95GYGxeK,Tomahawkcoin,TOM,0,true
14,3eBcKvyMavxACq54yvXk1rCAP4E475NCwGKV6AmQQNaw,PeerBanks,IRA,8,true
15,474jTeYx2r2Va35794tCScAXWJG9hU2HcgxzMowaZUnu,Ethereum,ETH,8,true
16,4764Pr9DpKQAHAjAVA2uqnrYidLMnM7vpDDLCDWujFTt,Upcoin,UPC,2,true
17,4GZ5tgKxPeu5kCYpcAE871grUPXWW3My5uccRVHRJ2k2,Clean/SmartCity,SCLRI,2,true
18,4eT6R8R2XuTcBuTHiXVQsh2dN2mg3c2Qnp95EWBNHygg,WavesGo,WGO,8,true
19,4uK8i4ThRGbehENwa6MxyLtxAjAo1Rj9fduborGExarC,MinerReward,MRT,2,true
20,4xDfFdPorzNmB5w8p28Fs5z6fPMf4QKJGcxY3DWT9ugG,SMART,SMART,8,true
21,5EAm2T6rKnaDHBT8ptWnuEqvKszp8SW9XPFYD1yAAW2x,Suretly,SUR,8,true
22,5WLqNPkA3oDp1hTFCeUukTL1qvFnk9Ew7DXTtCzvoCxi,VKCoin,VK,0,true
23,5ZPuAVxAwYvptbCgSVKdTzeud9dhbZ7vvxHVnZUoxf4h,ZrCoin,ZRC,8,true
24,5qtfgMsSAQsYMC947aYZcej1qMVQvMfRgLc3mexMXWE1,LIFE,LIFE,8,true
25,6284oD9Aky3gZwwwqCFEZzvyx5qeeswAbYEtCHcMyKUR,TrackNetToken,mTNT,4,true
26,6gZUKe6EhDnA8vMFdwLMjLm3QLhRe1v66LvST7ZWJcZW,CacaoShares,KKO,8,true
27,6qLNnEV34cE8CZi5hk3nTNiUeHZcKz35R7AafPSukSAt,AP-glasscoin#2,AP#2,0,true
28,6sosMnsaCM5iowMjdPHXDJNrByrw8L8SQCDeD2xoNeK4,SolarLab,SOL,8,true
29,71tUQ7miLb2vNViGYCarYvdNj2BnDyxuFMCQivViqZq6,like,LIKE,8,true
30,725Yv9oceWsB4GsYwyy4A52kEwyVrL5avubkeChSnL46,ErgoFirstYearToken,EFYT,8,true
31,7EHVUjcgEV9Du8qp95tS1eBV8DFtenmX64H3QawdCkC4,McFly,MFL,2,true
32,7QVcLyMCQ53KSCLhZN7m3FLbfjuoHxxk5xBiToE1gmAE,PropX,PropX,8,true
33,7Ry7rUTSS1iCJBFa7trCbwzAwnvvAUrX3gcz2iTL8aAF,WinToken,WIN,2,true
34,7VDRFwm2HbaJCk3U4HQDhLGdSCxZwPe3cHefVXy7ejYe,WorldTurtleCoin,TURTL,8,true
35,7tZxVdAWc8QvsMrXBoicMgU2bSJsaEpFJnPYn1H31B8B,CoExistCoin,COXST,8,true
36,7yXJqP2zpXTiXuS2o25seUHYxdDnfSPZJ3SEm5DrQ7cx,WavesFullNode,WFN,8,true
37,83Y1Ub3Kp9uitTTgKGPnaZE6EC793XuC3muoJC8zsFir,CorpEdu,CEIT,4,true
38,8FHrsE6ixLyEnbcJqxXaGRcEU2aziuEBvQ6Tebgqrv5c,jNetCoin,JNT,5,true
39,8LQW8f7P5d5PZM7GtZEBgaqRPGSzS3DfPuiXrURJ4AJS,Bitcoin,BTC,8,true
40,8SNKiX53Yi2yjG1ZbRM4dEQJaJDpns7aN1FWBg5AZDBn,Ikeva,IKV,5,true
41,8UHSg6jCDTUvKT3LmeDjoaPxKmnJhdLEgBHU3vUrojSm,pospool_io,PPIO,2,true
42,8ofu3VpEaVCFjRqLLqzTMNs5URKUUQMrPp3k6oFmiCc6,EncryptoTel,ETT,8,true
43,8t8DMJFQu5GEhvAetiA8aHa3yPjxLj54sBnZsjnJ5dsw,Wagerr,WGR,8,true
44,96NFBPoikAeacesZggFa6wBXAyczgZFyupbX5rJwFfdQ,DARF,DARF,8,true
45,9QrUSk9mkkdRPKDzNnEVDBoMDb6iBny4XpxsYtpwJdH9,SIBERIA,SIBERIA,2,true
46,9UFoSQSZZU5j8au1cLYgJGNNtuXAc2s1C4Xd8sPimqL8,AFFT,AFFT,8,true
47,9c7U7bXdP23oHpmGKwGfSsjFrpxdRcp3tp28qbfhEc3d,$bkt,BKT,0,true
48,9g5JiYThxFTxknSMA3TT5xoXG7GYjRrTJxxLeeoQ36kJ,GLIPP,GLIPP,8,true
49,9gnc5UCY6RxtSi9FEJkcD57r5NBgdr45DVYtunyDLrgC,BearWaves,BEAR,2,true
50,9kEcosT68xX1Azx2ZkUkgWmwQ5SxzN9rssFieiaxT1PN,MODO,MODO,8,true
51,9x9ATvB61fE5TU1zRdZvyvA5Q8ZYEs2yRmzTBAs69R9N,GingerDrink.EU,GIN,2,true
52,ABFYQjwDHSct6rNk59k3snoZfAqNHVZdHz4VGJe2oCV5,$OCLOceanlab,OCL,8,true
53,ANTz8NnpfbEcDFXo4gwd7UL5ugc9bdTcPGbEPktRPZw2,whoppercoin,whoppercoin,1,true
54,APz41KyoKuBBh8t3oZjqvhbbsg6f63tpZM5Ck5LYx6h,B@nkcoin,B@,8,true
55,AcrRM9STdBu5PNiFveTCbRFTS8tADhKcsbC2KBp8A4tx,CoffeeCoin,COF,3,true
56,AdEVVde2XTDa1qDPWfChUGH2XP67duQ4NnpQWXs7wETF,UselessToken,UWT,0,true
57,AnERqFRffNVrCbviXbDEdzrU6ipXCP5Y1PKpFdRnyQAy,RiptoBux,RBX,8,true
58,AvcbtGUgZwXrfn7rJwBLzoHCrJhtUusnco5amqF7foWU,GiveCoin,GIVE,2,true
59,AxAmJaro7BJ4KasYiZhw7HkjwgYtt2nekPuF2CN9LMym,Wavesnode.NET,WNET,8,true
60,BDMRyZsmDZpgKhdM7fUTknKcUbVVkDpMcqEj31PUzjMy,Tokes,TKS,8,true
61,BEth3AJY65jWWF7KCDSFgMS6g5AvDvoAWrn8UYEsoA17,DIMO,DIMO,8,true
62,BTfuGGoeA934Ta1fgcehQ5UhbHuWKj4don64ZNBuMT38,Starrie,STAR,8,true
63,BYMmfwocym3d3cuFc9XytbAWGCdAM9875n5fTFokGTMm,AP-glasscoin#0,AP#0,0,true
64,BYkKnXLUS3qRyNvbSTvNWJ3pTsW7uZGHhV4HQ3pdf6DW,SmartGames,SGIT,4,true
65,Bi4w2UuGRt2jAJFfRb8b3SwDUV5x8krCzX2zZHcRfPNc,CryptoPing,PING,8,true
66,BjAZxDeFpYaQ1gwmg65vYArhve31k8j9mscQDecNZ2bX,HALAL,HALAL,7,true
67,BkFyeRdrLquxds5FenxyonyfTwMVJJ6o6L7VTaPr5fs3,WavesPool.NET,WPN,8,true
68,BsDmB74Y1PvtVrE741i5CJThChQHHF96hDL5nXwv7JdS,Arena,ARNA,8,true
69,CHUTTYkDd9qFmQthCL7eHTDHwYudfthqwYCYsdvpCZbf,King93,KING,8,true
70,CJpRwfpBcFyA6p3g1fb7xuiArSQ7xLkNH8SD9AB4HeD9,MonsterByte,MBI,2,true
71,CL9PN5rpMm3ed2x6g9SWDQJfHciZFwXee2hhehmitzRj,OurCoinClassic,OCC,2,true
72,CNhUwUpGoMmPxDsqrUsVDa6WDzwZVdh4N8gVA85tBB28,SmartTracker,STT,0,true
73,CSX1Ynv6AXmJmfnG1hBczrL9tN5HWrjVx5Ur3WJeuErv,Cryptonetix,CNX,8,true
74,CVxqNTyfD39WrNsXSfpAUTzsA76astJpzQVEiZn8a1Ai,CryptogeneToken,CGT,0,true
75,CqSHx4WhszTZhabfWD8UuX8efg5hbZTPRNtnwW1ojJxe,KNOWS,KNOWS,8,true
76,CqdGdzvXVp2Gxn7wCZgCboMQu2cWYf6HKAsZFyg3Sq7Q,WavesDesk,WDESK,8,true
77,CvutHGapUdjVHXZ1KwGUD1Z3R2rwDwwbLJrTXSGUYfuK,Knish,Knish,8,true
78,D6hYNYUSxsLtvkUJ4Mxp6s7mT4WACbwJSsVGCQKxkSfH,GoldenFleece,GFL,8,true
79,DBLes8Bxb1P4qL1XaRRPL4d4xTVZSWHKP4oKGyFZjwBe,DATALIFE,DAT,6,true
80,DEJbZipbKQjwEiRjx2AqQFucrj5CZ3rAc4ZvFM8nAsoA,ChineseYuan,CNY,2,true
81,DHgwrRvVyqJsepd32YbBqUeDH4GJ1N984X8QoekjgH8J,WavesCommunity,WCT,2,true
82,DnAGJqeraWszYBfRjjbxtZDb1vggjUDZjWo49i15hGo1,Duocoin,DCN,2,true
83,DoL6wC5a72Fuxg7FtfUMWbJB9kjRuvQ3BQKrgjym3gh6,EQUIToken,EQ,8,true
84,Dq6ku3HyiMfKvorz2PLRAPwa9ykF78V1uiBhXtMbL2f2,Krosscoin,KSS,3,true
85,DsxRbfYXzwf4PFwUD6kyEJhj2Wd5E9NsHr5WynVKTzie,Chill,CHILL,8,true
86,EAmQHCqBVeNunvYRC5bFQh6mtvF34bL9qAwug5PGvjjE,FupoofCoin,FUPOOF,3,true
87,EMdiF8uaySswfCdMxc114rSfzUsAKCtK9d8eSx6ruKP4,RusCoin,RSC,5,true
88,ETLzrCpBqTrpyuMGdiVLBPZnUoKwte88oVdJjoFi5R2h,ShadowToken,SHDW,8,true
89,EXKrrWnMYnZrPYbrygnwzKKx5jjaEqALEgQhtoCcBdKG,RDCR,RDCR,8,true
90,EYz8Zvs62D4d7F5ZgXHCWuzuFaZg63FYnfVQrTWQoLSK,Kolion,KLN,4,true
91,EbY2Uf9ukD4ndg5J7MA7CjhB7xbAsiViTmVSemb186V8,Summer,SMR,8,true
92,EdDvbhk4wJ1kL6pMCq1V36GbQE2nGE7Metb87zbaY2JL,PrimalbaseToken,PBT,4,true
93,EqdXBgKgKqdpD3kGT4tS9VgLifZXS3ASihwM3hnprNdU,WavesNotify,WNT,0,true
94,ErZseGoQ81jWTnKbGim7djVgyAqrsYLQr5SwrEjnF7wM,eCoinToken,ECT,0,true
95,F6EK5bcdEShWPA9pGdgqGYmPPUZ9FaHnyVwPZfXCTxV7,KUNA,KUN,0,true
96,FLbGXzrpqkvucZqsHDcNxePTkh2ChmEi4GdBfDRRJVof,Incent,INCNT,8,true
97,FgPzwZqGngVG45d6WtP5273diR8cHRjs95aT6g1tuFUv,AP-glasscoin#1,AP#1,0,true
98,FoKiAEqHSit88f4iu1neKkzsanYHQqLRyR4DXucRGKbW,EstateCoin,ESC,2,true
99,Ft8X1v1LTa1ABafufpaCWyVj8KkaxUWE6xBhW6sNFJck,USDollar,USD,2,true
100,Fw2Sg8x4VZyxU5ManJTo69JCKg9Rox7xDNKxdQdxXDWk,RyderToken,RDT,2,true
101,GS5RfWDS8ytVnxqr7M2pnqeFuu7BpSwGnADTcw23FvbZ,Finamatrix,FIX,8,true
102,GdnNbe6E3txF63gv3rxhpfxytTJtG7ZYyHAvWWrrEbK5,EOTToken,EOT,8,true
103,Gh8Ed6n1y9wscFHT6s4EH6uhKajvNQ88oPkkFkYkgXyX,WaVialcoin,ViC,8,true
104,Gtb1WRznfchDnTh37ezoDTJ4wcoKaRsKqKjJjy7nm2zU,Euro,EUR,2,true
105,HfFHZaPzGMSdHvaaZ7S8mrZrPWEyGzfA6VDuSRzb8uY6,Bowhead,AHT,8,true
106,HhzJGgbbogGQubKkHUyEaHKs7fBRebjoJkgiDQ8jrYee,YouTubeCoin,YTB,0,true
107,HxxSmVuX4HbHDiDSGg96nx7wgCBhB9UPHh6pxgnKXjv4,Cryptowave,CWV,3,true
108,HzfaJp8YQWLvQG4FkUxq2Q7iYWMYQ2k8UF89vVJAjWPj,Mercury,MER,8,true
109,J8mgyjKQb4M7DjEKvewBSvKZULMZMDpUtua9VtByLbVD,Agrotoken,AGRO,8,true
110,K5JcgN8UdwNdh5sbdAuPMm5XEd5aFvoXaC3iHsHVz1d,Darcrus,DAR,6,true
111,zMFqXuoyrn5w17PFurTqxB7GsS71fp9dfk6XFwxbPCy,BitcoinCash,BCC,8,true
